91,Ibuprofeno,Lantus,1000ml,Polvo,M0153,Intravenosa,ml,1,0
92,Aspirina,Doloneurobion,850UI,Cápsula,M0140,Tópica,UI,1,0
93,Losartán,Clamoxin,750ml,Ungüento,C0930,Intravenosa,ml,0,0
94,Paracetamol,Prozac,10ml,Polvo,C0973,Tópica,ml,1,0
95,Atorvastatina,Ibuflam,20g,Tableta,C1046,Oral,g,1,0
96,Amiodarona,Losec,10mg,Cápsula,C0127,Inhalada,mg,0,0
97,Aspirina,Dexasone,125UI,Solución inyectable,A1080,Tópica,UI,1,0
98,Ranitidina,Lipitor,20UI,Cápsula,A0222,Intravenosa,UI,1,0
99,Dexametasona,Coumadin,500mcg,Ungüento,H0215,Sublingual,mcg,1,1
100,Amiodarona,Amicor,5mcg,Jarabe,C0188,Tópica,mcg,1,0
101,Salbutamol,Zantac,850UI,Polvo,R0348,Sublingual,UI,1,1
102,Losartán,NPH Insulatard,20g,Tableta,C0970,Sublingual,g,1,0
103,Cetirizina,Eutirox,125UI,Polvo,N0277,Intravenosa,UI,1,0
104,Naproxeno,Clamoxin,20mg,Solución inyectable,N0266,Oral,mg,1,0
105,Insulina Glargina,Amicor,20ml,Tableta,A1076,Intravenosa,ml,1,0
106,Levodopa,Dexasone,850mcg,Polvo,N0453,Sublingual,mcg,1,0
107,Hidroclorotiazida,Ibuflam,600g,Suspensión,G0348,Intravenosa,g,0,0
108,Amiodarona,Ventolin,5g,Suspensión,C0125,Tópica,g,1,0
109,Prednisolona,Coumadin,500g,Tableta,B0120,Tópica,g,1,0
110,Amiodarona,Ibuflam,600UI,Suspensión,C0199,Sublingual,UI,1,1
111,Paracetamol,Clamoxin,10mcg,Solución inyectable,N0222,Oral,mcg,1,0
112,Amoxicilina+Ácido clavulánico,Doloneurobion,125UI,Jarabe,J0193,Inhalada,UI,0,0
113,Enalaprilo,Coumadin,750g,Suspensión,C0921,Oral,g,1,0
114,Candesartán,NPH Insulatard,500mg,Ungüento,C0933,Inhalada,mg,0,0
115,Candesartán,Losec,20UI,Cápsula,A1046,Tópica,UI,1,0
116,Acetaminofén,Amicor,5g,Solución inyectable,N0252,Oral,g,1,0
117,Ibuprofeno,Glucophage,850g,Solución inyectable,M0188,Intravenosa,g,0,0
118,Loratadina,Loxcell,1000mg,Jarabe,B0171,Intravenosa,mg,1,0
119,Atorvastatina,Lantus,750g,Suspensión,C1083,Sublingual,g,1,0
120,Amoxicilina,Voltaren,250ml,Suspensión,J0161,Intravenosa,ml,1,0
